Landroid.*/content/pm/LauncherApps; ## registerCallback ## unregisterCallback ## Internal
Landroid.*/content/res/Resources; ## startPreloading ## finishPreloading ## Internal
Landroid.*/content/ContentResolver; ## requestSyncAsUser ## cancelSyncAsUser ## Internal
Landroid.*/content/pm/PackageManager; ## registerMoveCallback ## unregisterMoveCallback ## Internal
Landroid.*/content/Context; ## registerReceiver ## unregisterReceiver ## User
Landroid.*/content/ContextWrapper; ## registerReceiver ## unregisterReceiver ## User
Landroid.*/system/Os; ## open ## close ## User
Landroid.*/system/Os; ## open ## removexattr ## User
Landroid.*/system/Os; ## open ## remove ## User
Landroid.*/content/res/ResourcesImpl; ## startPreloading ## finishPreloading ## Internal
Landroid.*/content/Loader; ## startLoading ## stopLoading ## Internal
Landroid.*/content/ContentResolver; ## acquireProvider ## releaseProvider ## User
Landroid.*/content/Context; ## registerComponentCallbacks ## unregisterComponentCallbacks ## Internal
Landroid.*/content/ContentResolver; ## requestSync ## cancelSync ## Internal
Landroid.*/content/ContentResolver; ## startSync ## cancelSync ## Internal
Landroid.*/content/pm/PackageInstaller; ## registerSessionCallback ## removeSessionCallback ## Internal
Landroid.*/content/pm/PackageInstaller; ## registerSessionCallback ## unregisterSessionCallback ## Internal
Landroid.*/content/pm/PackageInstaller; ## openSession ## abandonSession ## User
Landroid.*/content/ContextWrapper; ## startService ## stopService ## User
Landroid.*/content/DefaultDataHandler; ## startPrefixMapping ## endPrefixMapping ## Internal
Landroid.*/content/pm/ShortcutManager; ## enableShortcuts ## disableShortcuts ## Internal
Landroid.*/content/Context; ## startServiceAsUser ## stopServiceAsUser ## User
Landroid.*/content/Loader; ## registerListener ## unregisterListener ## Internal
Landroid.*/content/ContextWrapper; ## startServiceAsUser ## stopServiceAsUser ## User
Landroid.*/content/SharedPreferences; ## registerOnSharedPreferenceChangeListener ## unregisterOnSharedPreferenceChangeListener ## Internal
Landroid.*/content/DefaultDataHandler; ## startDocument ## endDocument ## Internal
Landroid.*/content/ContentResolver; ## acquireUnstableProvider ## releaseUnstableProvider ## User
Landroid.*/content/Loader; ## registerOnLoadCanceledListener ## unregisterOnLoadCanceledListener ## Internal
Landroid.*/content/Context; ## startService ## stopService ## User
Landroid.*/content/res/AssetManager; ## open ## close ## User
Landroid.*/content/DefaultDataHandler; ## startElement ## endElement ## Internal
Landroid.*/content/ContentResolver; ## registerContentObserver ## unregisterContentObserver ## Internal
